symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
EPAM,"EPAM Systems, Inc.","EPAM Systems, Inc.",Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania"
EQT,EQT Corporation,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
EFX,"Equifax, Inc.",Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia"
EQIX,"Equinix, Inc.","Equinix, Inc.",Real Estate,Data Center REITs,"Redwood City, California"
EQR,Equity Residential,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois"
ERIE,Erie Indemnity Company,Erie Indemnity Company,Financials,Insurance Brokers,"Erie, Pennsylvania"
ESS,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",Real Estate,Multi-Family Residential REITs,"San Mateo, California"
EL,"Estee Lauder Companies, Inc. (T",The Estée Lauder Companies Inc.,Consumer Staples,Personal Care Products,"New York City, New York"
EG,"Everest Group, Ltd.","Everest Group, Ltd.",Financials,Reinsurance,"Hamilton, Bermuda"
EVRG,"Evergy, Inc.","Evergy, Inc.",Utilities,Electric Utilities,"Kansas City, Missouri"
ES,Eversource Energy (D/B/A),Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut"
EXC,Exelon Corporation,Exelon Corporation,Utilities,Electric Utilities,"Chicago, Illinois"
EXE,Expand Energy Corporation,Expand Energy Corporation,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
EXPE,"Expedia Group, Inc.","Expedia Group, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington"
EXPD,Expeditors International of Was,"Expeditors International of Washington, Inc.",Industrials,Air Freight & Logistics,"Seattle, Washington"
EXR,Extra Space Storage Inc,Extra Space Storage Inc.,Real Estate,Self-Storage REITs,"Salt Lake City, Utah"
XOM,Exxon Mobil Corporation,Exxon Mobil Corporation,Energy,Integrated Oil & Gas,"Irving, Texas"
FFIV,"F5, Inc.","F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington"
FDS,FactSet Research Systems Inc.,FactSet Research Systems Inc.,Financials,Financial Exchanges & Data,"Norwalk, Connecticut"
FICO,Fair Isaac Corporation,Fair Isaac Corporation,Information Technology,Application Software,"Bozeman, Montana"
FAST,Fastenal Company,Fastenal Company,Industrials,Trading Companies & Distributors,"Winona, Minnesota"
