Symbol,Short Name,Long Name,Type,Sector,Industry,Country
CENX,Century Aluminum Company,Century Aluminum Company,share,Materials,Aluminum,"Chicago, Illinois"
CERT,"Certara, Inc.","Certara, Inc.",share,Health Care,Health Care Technology,"Princeton, New Jersey"
CEVA,"CEVA, Inc.","CEVA, Inc.",share,Information Technology,Semiconductors,"Rockville, Maryland"
CFFN,"Capitol Federal Financial, Inc.","Capitol Federal Financial, Inc.",share,Financials,Regional Banks,"Topeka, Kansas"
CHCO,City Holding Company,City Holding Company,share,Financials,Regional Banks,"Charleston, West Virginia"
CHEF,"The Chefs' Warehouse, Inc.","The Chefs' Warehouse, Inc.",share,Consumer Staples,Food Distributors,"Ridgefield, Connecticut"
CLB,Core Laboratories Inc.,Core Laboratories Inc.,share,Energy,Oil & Gas Equipment & Services,"Amsterdam, the Netherlands"
CLSK,"CleanSpark, Inc.","CleanSpark, Inc.",share,Information Technology,Internet Services & Infrastructure,"Henderson, Nevada"
CNK,Cinemark Holdings Inc Cinemark ,"Cinemark Holdings, Inc.",share,Communication Services,Movies & Entertainment,"Plano, Texas"
CNMD,CONMED Corporation,CONMED Corporation,share,Health Care,Health Care Equipment,"Largo, Florida"
CNR,"Core Natural Resources, Inc.","Core Natural Resources, Inc.",share,Energy,Coal & Consumable Fuels,"Cecil Township, Pennsylvania"
CNS,Cohen & Steers Inc,"Cohen & Steers, Inc.",share,Financials,Asset Management & Custody Banks,"New York City, New York"
CNXN,"PC Connection, Inc.","PC Connection, Inc.",share,Information Technology,Technology Distributors,"Merrimack, New Hampshire"
COHU,"Cohu, Inc.","Cohu, Inc.",share,Information Technology,Semiconductor Materials & Equipment,"Poway, California"
COLL,"Collegium Pharmaceutical, Inc.","Collegium Pharmaceutical, Inc.",share,Health Care,Pharmaceuticals,"Stoughton, Massachusetts"
CON,Concentra Group Holdings Parent,"Concentra Group Holdings Parent, Inc.",share,Health Care,Health Care Services,"Mechanicsburg, Pennsylvania"
CORT,Corcept Therapeutics Incorporat,Corcept Therapeutics Incorporated,share,Health Care,Pharmaceuticals,"Menlo Park, California"
CPF,Central Pacific Financial Corp ,Central Pacific Financial Corp.,share,Financials,Regional Banks,"Honolulu, Hawaii"
CPK,Chesapeake Utilities Corporatio,Chesapeake Utilities Corporation,share,Utilities,Gas Utilities,"Dover, Delaware"
CPRX,"Catalyst Pharmaceuticals, Inc.","Catalyst Pharmaceuticals, Inc.",share,Health Care,Biotechnology,"Coral Gables, Florida"
CRC,California Resources Corporatio,California Resources Corporation,share,Energy,Oil & Gas Exploration & Production,"Los Angeles, California"
CRGY,Crescent Energy Company,Crescent Energy Company,share,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CRI,"Carter's, Inc.","Carter's, Inc.",share,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia"
CRK,"Comstock Resources, Inc.","Comstock Resources, Inc.",share,Energy,Oil & Gas Exploration & Production,"Frisco, Texas"
CRSR,"Corsair Gaming, Inc.","Corsair Gaming, Inc.",share,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California"
CRVL,CorVel Corp.,CorVel Corporation,share,Health Care,Health Care Services,"Irvine, California"
CSGS,"CSG Systems International, Inc.","CSG Systems International, Inc.",share,Industrials,Data Processing & Outsourced Services,"Greenwood Village, Colorado"
CSR,D/B/A Centerspace,Centerspace,share,Real Estate,Multi-Family Residential REITs,"Minot, North Dakota"
CSW,"CSW Industrials, Inc.","CSW Industrials, Inc.",share,Industrials,Industrial Conglomerates,"Dallas, Texas"
CTKB,"Cytek Biosciences, Inc.","Cytek Biosciences, Inc.",share,Health Care,Health Care Equipment,"Fremont, California"
CTRE,"CareTrust REIT, Inc.","CareTrust REIT, Inc.",share,Real Estate,Health Care REITs,"San Clemente, California"
CTS,CTS Corporation,CTS Corporation,share,Information Technology,Electronic Manufacturing Services,"Lisle, Illinois"
CUBI,"Customers Bancorp, Inc","Customers Bancorp, Inc.",share,Financials,Regional Banks,"Reading, Pennsylvania"
CURB,Curbline Properties Corp.,Curbline Properties Corp.,share,Real Estate,Retail REITs,"New York City, New York"
CVBF,CVB Financial Corporation,CVB Financial Corp.,share,Financials,Regional Banks,"Ontario, California"
CVCO,"Cavco Industries, Inc.","Cavco Industries, Inc.",share,Consumer Discretionary,Homebuilding,"Phoenix, Arizona"
CVI,CVR Energy Inc.,"CVR Energy, Inc.",share,Energy,Oil & Gas Refining & Marketing,"Sugar Land, Texas"
CWEN,"Clearway Energy, Inc.","Clearway Energy, Inc.",share,Utilities,Renewable Electricity,"Princeton, New Jersey"
CWEN.A,,,share,Utilities,Renewable Electricity,"Princeton, New Jersey"
CWK,Cushman & Wakefield plc,Cushman & Wakefield plc,share,Real Estate,Real Estate Services,"Chicago, Illinois"
CWT,California Water Service Group,California Water Service Group,share,Utilities,Water Utilities,"San Jose, California"
CXM,"Sprinklr, Inc.","Sprinklr, Inc.",share,Information Technology,Application Software,"New York City, New York"
CXW,"CoreCivic, Inc.","CoreCivic, Inc.",share,Industrials,Diversified Support Services,"Brentwood, Tennessee"
CZR,"Caesars Entertainment, Inc.","Caesars Entertainment, Inc.",share,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada"
DAN,Dana Incorporated,Dana Incorporated,share,Consumer Discretionary,Automotive Parts & Equipment,"Maumee, Ohio"
DCOM,"Dime Community Bancshares, Inc.","Dime Community Bancshares, Inc.",share,Financials,Regional Banks,"Hauppauge, New York"
DEA,"Easterly Government Properties,","Easterly Government Properties, Inc.",share,Real Estate,Office REITs,"Washington, D.C."
DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",share,Real Estate,Office REITs,"Santa Monica, California"
DFH,"Dream Finders Homes, Inc.","Dream Finders Homes, Inc.",share,Consumer Discretionary,Homebuilding,"Jacksonville, Florida"
DFIN,"Donnelley Financial Solutions, ","Donnelley Financial Solutions, Inc.",share,Financials,Financial Exchanges & Data,"Chicago, Illinois"
DGII,Digi International Inc.,Digi International Inc.,share,Information Technology,Communications Equipment,"Hopkins, Minnesota"
DIOD,Diodes Incorporated,Diodes Incorporated,share,Information Technology,Semiconductors,"Plano, Texas"
DLX,Deluxe Corporation,Deluxe Corporation,share,Industrials,Commercial Printing,"Minneapolis, Minnesota"
